label,area,centroid-0,centroid-1,perimeter,axis_major_length,axis_minor_length
1,97.0,19.52577319587629,344.70103092783506,35.55634918610404,13.685100518429213,9.037091797587236
2,597.0,42.69011725293132,337.99329983249584,103.49747468305833,36.8591943216889,23.244890840074078
3,91.0,82.0989010989011,361.72527472527474,33.55634918610404,12.194139923837076,9.548279126924621
4,1242.0,137.24315619967794,341.62238325281805,132.81118318204307,46.59836430551807,34.74071486700806
5,491.0,144.39714867617107,372.5112016293279,89.39696961966999,30.670974121866116,21.728371341052892
6,954.0,173.8909853249476,353.01991614255763,120.42640687119285,42.60747111967002,29.585044121667423
7,334.0,193.97305389221557,326.4191616766467,68.5269119345812,23.11274985935067,18.892277576757667
8,105.0,248.42857142857142,373.1333333333333,38.384776310850235,15.118855130277979,9.001949501808701
9,317.0,254.14511041009465,346.1545741324921,67.698484809835,24.529652889597166,16.712061941816053
10,50.0,261.62,369.88,24.48528137423857,9.257330351535666,7.093732075750857
11,52.0,292.40384615384613,375.4423076923077,26.27817459305202,10.612212735050036,6.5005138651503716
