fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate,sea_ice_fraction,mean_sea_ice_concentration
001-baffin_bay-100km-2022-09-11,1,baffin_bay,100km,-1012500.0,-912500.0,-962500.0,-862500.0,-962500.0,-912500.0,77.8010134696761,-91.52752544221292,2022-09-11,2022-09-12,,
002-baffin_bay-100km-2015-03-12,2,baffin_bay,100km,-962500.0,-862500.0,-1262500.0,-1162500.0,-912500.0,-1212500.0,76.05793463023313,-81.96428928946521,2015-03-12,2015-03-13,,
003-baffin_bay-100km-2012-04-19,3,baffin_bay,100km,-937500.0,-837500.0,-1337500.0,-1237500.0,-887500.0,-1287500.0,75.63723535800011,-79.5792876032055,2012-04-19,2012-04-20,,
004-baffin_bay-100km-2019-09-25,4,baffin_bay,100km,-662500.0,-562500.0,-1037500.0,-937500.0,-612500.0,-987500.0,79.30290332206089,-76.80938928779315,2019-09-25,2019-09-26,,
005-baffin_bay-100km-2013-03-08,5,baffin_bay,100km,-687500.0,-587500.0,-1162500.0,-1062500.0,-637500.0,-1112500.0,78.20371977365892,-74.81416273779868,2013-03-08,2013-03-09,,
006-baffin_bay-100km-2022-05-30,6,baffin_bay,100km,-812500.0,-712500.0,-1462500.0,-1362500.0,-762500.0,-1412500.0,75.26078556750505,-73.3611943295737,2022-05-30,2022-05-31,,
007-baffin_bay-100km-2007-08-25,7,baffin_bay,100km,-612500.0,-512500.0,-1112500.0,-1012500.0,-562500.0,-1062500.0,78.93517357895364,-72.89727103094764,2007-08-25,2007-08-26,,
008-baffin_bay-100km-2011-05-06,8,baffin_bay,100km,-662500.0,-562500.0,-1237500.0,-1137500.0,-612500.0,-1187500.0,77.71099327658386,-72.28420729362306,2011-05-06,2011-05-07,,
009-baffin_bay-100km-2012-04-22,9,baffin_bay,100km,-687500.0,-587500.0,-1287500.0,-1187500.0,-637500.0,-1237500.0,77.20090337870023,-72.25532837494306,2012-04-22,2012-04-23,,
010-baffin_bay-100km-2021-06-02,10,baffin_bay,100km,-762500.0,-662500.0,-1437500.0,-1337500.0,-712500.0,-1387500.0,75.6736250602886,-72.18111108547723,2021-06-02,2021-06-03,,
011-baffin_bay-100km-2011-07-02,11,baffin_bay,100km,-887500.0,-787500.0,-1787500.0,-1687500.0,-837500.0,-1737500.0,72.33032770725922,-70.73473569081999,2011-07-02,2011-07-03,,
012-baffin_bay-100km-2009-04-26,12,baffin_bay,100km,-512500.0,-412500.0,-1062500.0,-962500.0,-462500.0,-1012500.0,79.75068045859918,-69.55045238920742,2009-04-26,2009-04-27,,
013-baffin_bay-100km-2012-05-27,13,baffin_bay,100km,-737500.0,-637500.0,-1587500.0,-1487500.0,-687500.0,-1537500.0,74.54322462696989,-69.09201952899035,2012-05-27,2012-05-28,,
014-baffin_bay-100km-2022-07-06,14,baffin_bay,100km,-837500.0,-737500.0,-1812500.0,-1712500.0,-787500.0,-1762500.0,72.3157169715812,-69.07549825507884,2022-07-06,2022-07-07,,
015-baffin_bay-100km-2021-08-04,15,baffin_bay,100km,-462500.0,-362500.0,-1012500.0,-912500.0,-412500.0,-962500.0,80.3552085203289,-68.19859051364818,2021-08-04,2021-08-05,,
016-baffin_bay-100km-2007-06-05,16,baffin_bay,100km,-612500.0,-512500.0,-1612500.0,-1512500.0,-562500.0,-1562500.0,74.7568366127483,-64.79887635452492,2007-06-05,2007-06-06,,
017-baffin_bay-100km-2008-08-16,17,baffin_bay,100km,-362500.0,-262500.0,-937500.0,-837500.0,-312500.0,-887500.0,81.33010272083514,-64.39781244855823,2008-08-16,2008-08-17,,
018-baffin_bay-100km-2012-09-15,18,baffin_bay,100km,-362500.0,-262500.0,-962500.0,-862500.0,-312500.0,-912500.0,81.1133168213143,-63.90457584261166,2012-09-15,2012-09-16,,
019-baffin_bay-100km-2008-07-04,19,baffin_bay,100km,-737500.0,-637500.0,-2087500.0,-1987500.0,-687500.0,-2037500.0,70.33687935349806,-63.64559412207739,2008-07-04,2008-07-05,,
020-baffin_bay-100km-2007-06-03,20,baffin_bay,100km,-462500.0,-362500.0,-1912500.0,-1812500.0,-412500.0,-1862500.0,72.52144709204624,-57.4880857689485,2007-06-03,2007-06-04,,
021-baffin_bay-100km-2014-03-29,21,baffin_bay,100km,-462500.0,-362500.0,-2187500.0,-2087500.0,-412500.0,-2137500.0,70.09851433514446,-55.92280471986926,2014-03-29,2014-03-30,,
022-barents_kara_seas-100km-2006-09-09,22,barents_kara_seas,100km,762500.0,862500.0,-462500.0,-362500.0,812500.0,-412500.0,81.60277455167567,18.083445383048655,2006-09-09,2006-09-10,,
023-barents_kara_seas-100km-2019-03-04,23,barents_kara_seas,100km,1362500.0,1462500.0,-512500.0,-412500.0,1412500.0,-462500.0,76.3420535477381,26.869813087499065,2019-03-04,2019-03-05,,
024-barents_kara_seas-100km-2015-04-26,24,barents_kara_seas,100km,1012500.0,1112500.0,-312500.0,-212500.0,1062500.0,-262500.0,79.92187339683146,31.12247019679199,2015-04-26,2015-04-27,,
025-barents_kara_seas-100km-2009-03-02,25,barents_kara_seas,100km,1362500.0,1462500.0,-337500.0,-237500.0,1412500.0,-287500.0,76.7504339106868,33.49518467374119,2009-03-02,2009-03-03,,
026-barents_kara_seas-100km-2014-06-21,26,barents_kara_seas,100km,1212500.0,1312500.0,-212500.0,-112500.0,1262500.0,-162500.0,78.28866110333007,37.665621198583295,2014-06-21,2014-06-22,,
027-barents_kara_seas-100km-2013-04-22,27,barents_kara_seas,100km,1412500.0,1512500.0,-137500.0,-37500.0,1462500.0,-87500.0,76.53492076460785,41.57612875506932,2013-04-22,2013-04-23,,
028-barents_kara_seas-100km-2018-08-19,28,barents_kara_seas,100km,712500.0,812500.0,-62500.0,37500.0,762500.0,-12500.0,82.96868291656112,44.060809054264425,2018-08-19,2018-08-20,,
029-barents_kara_seas-100km-2014-07-08,29,barents_kara_seas,100km,1012500.0,1112500.0,37500.0,137500.0,1062500.0,87500.0,80.18168529276582,49.707852244372226,2014-07-08,2014-07-09,,
030-barents_kara_seas-100km-2011-05-10,30,barents_kara_seas,100km,1312500.0,1412500.0,162500.0,262500.0,1362500.0,212500.0,77.32023765750544,53.86462338841079,2011-05-10,2011-05-11,,
031-barents_kara_seas-100km-2015-04-28,31,barents_kara_seas,100km,2137500.0,2237500.0,312500.0,412500.0,2187500.0,362500.0,69.73653112317245,54.40922140811018,2015-04-28,2015-04-29,,
032-barents_kara_seas-100km-2014-05-01,32,barents_kara_seas,100km,1312500.0,1412500.0,337500.0,437500.0,1362500.0,387500.0,76.97767857802384,60.87594650522258,2014-05-01,2014-05-02,,
033-barents_kara_seas-100km-2011-06-01,33,barents_kara_seas,100km,1762500.0,1862500.0,512500.0,612500.0,1812500.0,562500.0,72.61040758093598,62.24145939893998,2011-06-01,2011-06-02,,
034-barents_kara_seas-100km-2020-07-10,34,barents_kara_seas,100km,712500.0,812500.0,187500.0,287500.0,762500.0,237500.0,82.63734511901114,62.300527191945015,2020-07-10,2020-07-11,,
035-barents_kara_seas-100km-2011-08-05,35,barents_kara_seas,100km,987500.0,1087500.0,287500.0,387500.0,1037500.0,337500.0,79.95331911853829,63.019769281777144,2011-08-05,2011-08-06,,
036-barents_kara_seas-100km-2020-07-01,36,barents_kara_seas,100km,1012500.0,1112500.0,312500.0,412500.0,1062500.0,362500.0,79.66361897791533,63.83843355798077,2020-07-01,2020-07-02,,
